CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	GCO2__GCO3
chr_10	6700001	6800000	2535	-0.00449152	GCO2__GCO3
chr_10	6800001	6900000	2851	-0.00308062	GCO2__GCO3
chr_10	6900001	7000000	2748	0.00729696	GCO2__GCO3
chr_10	7000001	7100000	2679	0.00424985	GCO2__GCO3
chr_10	7100001	7200000	2498	0.000282703	GCO2__GCO3
chr_10	7200001	7300000	2491	-0.00300898	GCO2__GCO3
chr_10	7300001	7400000	2380	-0.000651904	GCO2__GCO3
chr_10	7400001	7500000	2629	-0.00545524	GCO2__GCO3
chr_10	7500001	7600000	2452	0.000198984	GCO2__GCO3
chr_10	7600001	7700000	2249	-0.00688904	GCO2__GCO3
chr_10	7700001	7800000	2209	0.00402047	GCO2__GCO3
chr_10	7800001	7900000	2421	-0.00265132	GCO2__GCO3
chr_10	7900001	8000000	2354	0.000851197	GCO2__GCO3
chr_10	8000001	8100000	2524	0.0145765	GCO2__GCO3
chr_10	8100001	8200000	2562	0.0116775	GCO2__GCO3
chr_10	8200001	8300000	2942	0.00527604	GCO2__GCO3
chr_10	8300001	8400000	2696	-0.00278997	GCO2__GCO3
chr_10	8400001	8500000	2617	-0.00246028	GCO2__GCO3
chr_10	8500001	8600000	2548	0.00837895	GCO2__GCO3
chr_10	8600001	8700000	2127	-0.00137487	GCO2__GCO3
chr_10	8700001	8800000	2656	0.00795674	GCO2__GCO3
chr_10	8800001	8900000	2772	0.0227103	GCO2__GCO3
chr_10	8900001	9000000	2443	-1.74355e-05	GCO2__GCO3
chr_10	9000001	9100000	2365	0.000828759	GCO2__GCO3
chr_10	9100001	9200000	2642	-0.00640605	GCO2__GCO3
chr_10	9200001	9300000	2905	-0.00737972	GCO2__GCO3
chr_10	9300001	9400000	3040	0.00730527	GCO2__GCO3
chr_10	9400001	9500000	2439	0.0115776	GCO2__GCO3
chr_10	9500001	9600000	2767	0.0125493	GCO2__GCO3
chr_10	9600001	9700000	2408	0.00682274	GCO2__GCO3
chr_10	9700001	9800000	2689	0.00358841	GCO2__GCO3
chr_10	9800001	9900000	2692	0.00686242	GCO2__GCO3
chr_10	9900001	10000000	2361	-0.0143561	GCO2__GCO3
chr_10	10000001	10100000	2457	0.00731527	GCO2__GCO3
chr_10	10100001	10200000	2651	0.00149201	GCO2__GCO3
chr_10	10200001	10300000	2350	0.015547	GCO2__GCO3
chr_10	10300001	10400000	2601	-0.00632073	GCO2__GCO3
chr_10	10400001	10500000	2519	0.000928312	GCO2__GCO3
chr_10	10500001	10600000	2441	-0.0055669	GCO2__GCO3
chr_10	10600001	10700000	2407	-0.000518546	GCO2__GCO3
chr_10	10700001	10800000	2693	-0.0159483	GCO2__GCO3
chr_10	10800001	10900000	2504	-0.0021122	GCO2__GCO3
chr_10	10900001	11000000	2543	-0.00189158	GCO2__GCO3
chr_10	11000001	11100000	2699	-0.00593023	GCO2__GCO3
chr_10	11100001	11200000	2516	0.00476498	GCO2__GCO3
chr_10	11200001	11300000	2584	-0.00688289	GCO2__GCO3
chr_10	11300001	11400000	2520	-0.0092207	GCO2__GCO3
chr_10	11400001	11500000	2407	-0.00806916	GCO2__GCO3
chr_10	11500001	11600000	2700	-0.00299482	GCO2__GCO3
chr_10	11600001	11700000	2948	-0.0104376	GCO2__GCO3
chr_10	11700001	11800000	2733	9.49152e-05	GCO2__GCO3
chr_10	11800001	11900000	2344	-0.0129245	GCO2__GCO3
chr_10	11900001	12000000	3299	0.0148555	GCO2__GCO3
chr_10	12000001	12100000	2316	0.00383751	GCO2__GCO3
chr_10	12100001	12200000	2495	-0.00147239	GCO2__GCO3
chr_10	12200001	12300000	2797	0.000585307	GCO2__GCO3
chr_10	12300001	12400000	2524	0.0137406	GCO2__GCO3
chr_10	12400001	12500000	2196	0.00338581	GCO2__GCO3
chr_10	12500001	12600000	2381	0.00260867	GCO2__GCO3
chr_10	12600001	12700000	2546	-0.00072317	GCO2__GCO3
chr_10	12700001	12800000	2407	0.00272702	GCO2__GCO3
chr_10	12800001	12900000	2442	0.000534694	GCO2__GCO3
chr_10	12900001	13000000	2291	0.011454	GCO2__GCO3
chr_10	13000001	13100000	2725	0.0103555	GCO2__GCO3
chr_10	13100001	13200000	2292	-0.00618186	GCO2__GCO3
chr_10	13200001	13300000	2521	-0.0118008	GCO2__GCO3
chr_10	13300001	13400000	2852	-0.00325906	GCO2__GCO3
chr_10	13400001	13500000	2689	-0.0047185	GCO2__GCO3
chr_10	13500001	13600000	2447	-0.000743381	GCO2__GCO3
chr_10	13600001	13700000	2706	-0.00138631	GCO2__GCO3
chr_10	13700001	13800000	2910	0.00252391	GCO2__GCO3
chr_10	13800001	13900000	2589	0.00106646	GCO2__GCO3
chr_10	13900001	14000000	2740	-0.00301918	GCO2__GCO3
chr_10	14000001	14100000	2728	-0.0015673	GCO2__GCO3
chr_10	14100001	14200000	2271	-0.00432994	GCO2__GCO3
chr_10	14200001	14300000	2668	-0.00790859	GCO2__GCO3
chr_10	14300001	14400000	2594	-0.0098525	GCO2__GCO3
chr_10	14400001	14500000	2526	-0.00797795	GCO2__GCO3
chr_10	14500001	14600000	2772	-0.00777274	GCO2__GCO3
chr_10	14600001	14700000	2497	-0.00732005	GCO2__GCO3
chr_10	14700001	14800000	2535	-0.00477788	GCO2__GCO3
chr_10	14800001	14900000	2658	0.0614378	GCO2__GCO3
chr_10	14900001	15000000	2496	0.0401547	GCO2__GCO3
chr_10	15000001	15100000	2473	0.00631117	GCO2__GCO3
chr_10	15100001	15200000	2480	-0.011708	GCO2__GCO3
chr_10	15200001	15300000	2656	-0.00287307	GCO2__GCO3
chr_10	15300001	15400000	2820	-0.00476239	GCO2__GCO3
chr_10	15400001	15500000	2496	0.00820963	GCO2__GCO3
chr_10	15500001	15600000	2868	0.00227443	GCO2__GCO3
chr_10	15600001	15700000	2970	-0.00594246	GCO2__GCO3
chr_10	15700001	15800000	2408	0.00393427	GCO2__GCO3
chr_10	15800001	15900000	2424	0.0114076	GCO2__GCO3
chr_10	15900001	16000000	2461	-0.00431185	GCO2__GCO3
chr_10	16000001	16100000	2756	0.00334905	GCO2__GCO3
chr_10	16100001	16200000	2878	-0.00556498	GCO2__GCO3
chr_10	16200001	16300000	2727	-0.00652075	GCO2__GCO3
chr_10	16300001	16400000	2445	0.00223839	GCO2__GCO3
chr_10	16400001	16500000	3030	-0.00107766	GCO2__GCO3
chr_10	16500001	16600000	2483	0.00113284	GCO2__GCO3
chr_10	16600001	16700000	2695	0.00938931	GCO2__GCO3
chr_10	16700001	16800000	2563	-0.00165123	GCO2__GCO3
chr_10	16800001	16900000	2627	-0.00444091	GCO2__GCO3
chr_10	16900001	17000000	2748	-0.00254413	GCO2__GCO3
chr_10	17000001	17100000	2715	-0.00135924	GCO2__GCO3
chr_10	17100001	17200000	2675	0.0025039	GCO2__GCO3
chr_10	17200001	17300000	2783	0.00820695	GCO2__GCO3
chr_10	17300001	17400000	2421	-0.0070163	GCO2__GCO3
chr_10	17400001	17500000	2441	-0.0124624	GCO2__GCO3
chr_10	17500001	17600000	2089	0.00260133	GCO2__GCO3
chr_10	17600001	17700000	2244	-0.0102855	GCO2__GCO3
chr_10	17700001	17800000	2423	-0.013023	GCO2__GCO3
chr_10	17800001	17900000	2364	-0.0136609	GCO2__GCO3
chr_10	17900001	18000000	2213	0.00847063	GCO2__GCO3
chr_10	18000001	18100000	2331	0.0112258	GCO2__GCO3
chr_10	18100001	18200000	2604	-0.0127465	GCO2__GCO3
chr_10	18200001	18300000	2332	-0.00762953	GCO2__GCO3
chr_10	18300001	18400000	2562	0.0148026	GCO2__GCO3
chr_10	18400001	18500000	2208	-0.00929161	GCO2__GCO3
chr_10	18500001	18600000	2800	0.00355012	GCO2__GCO3
chr_10	18600001	18700000	2630	-0.00286127	GCO2__GCO3
chr_10	18700001	18800000	2606	0.00457389	GCO2__GCO3
chr_10	18800001	18900000	2737	-0.00385958	GCO2__GCO3
chr_10	18900001	19000000	2623	0.00894028	GCO2__GCO3
chr_10	19000001	19100000	3004	0.00813905	GCO2__GCO3
chr_10	19100001	19200000	2348	0.000740013	GCO2__GCO3
chr_10	19200001	19300000	2846	-0.00146395	GCO2__GCO3
chr_10	19300001	19400000	2562	-0.00541007	GCO2__GCO3
chr_10	19400001	19500000	2573	0.00628132	GCO2__GCO3
chr_10	19500001	19600000	210	0.000707597	GCO2__GCO3
chr_10	19600001	19700000	30	-0.0142857	GCO2__GCO3
chr_10	19700001	19800000	322	-0.00139644	GCO2__GCO3
chr_10	19800001	19900000	2565	-0.0103003	GCO2__GCO3
chr_10	19900001	20000000	2747	0.0107715	GCO2__GCO3
chr_10	20000001	20100000	1950	0.0156	GCO2__GCO3
chr_10	20100001	20200000	2045	-0.00871456	GCO2__GCO3
chr_10	20200001	20300000	2490	-0.00926802	GCO2__GCO3
chr_10	20300001	20400000	2667	-0.0095408	GCO2__GCO3
chr_10	20400001	20500000	2185	0.0184171	GCO2__GCO3
chr_10	20500001	20600000	2163	0.0136144	GCO2__GCO3
chr_10	20600001	20700000	2343	0.0145225	GCO2__GCO3
chr_10	20700001	20800000	2299	0.0167479	GCO2__GCO3
chr_10	20800001	20900000	2058	0.0109235	GCO2__GCO3
chr_10	20900001	21000000	1768	0.0144329	GCO2__GCO3
chr_10	21000001	21100000	2110	0.0115803	GCO2__GCO3
chr_10	21100001	21200000	2139	-0.0137472	GCO2__GCO3
chr_10	21200001	21300000	1620	0.0011785	GCO2__GCO3
chr_10	21300001	21400000	1626	-0.0237954	GCO2__GCO3
chr_10	21400001	21500000	2176	-0.0295919	GCO2__GCO3
chr_10	21500001	21600000	1706	-0.00711265	GCO2__GCO3
chr_10	21600001	21700000	1767	0.00477406	GCO2__GCO3
chr_10	21700001	21800000	1818	-0.0307718	GCO2__GCO3
chr_10	21800001	21900000	1432	-0.0297422	GCO2__GCO3
chr_10	21900001	22000000	1284	-0.0336362	GCO2__GCO3
chr_10	22000001	22100000	1249	0.000650285	GCO2__GCO3
chr_10	22100001	22200000	1397	-0.0168989	GCO2__GCO3
chr_10	22200001	22300000	1277	-0.0210005	GCO2__GCO3
chr_10	22300001	22400000	1346	-0.0135365	GCO2__GCO3
chr_10	22400001	22500000	1394	-0.0121231	GCO2__GCO3
chr_10	22500001	22600000	1182	-0.0165462	GCO2__GCO3
chr_10	22600001	22700000	1314	-0.012307	GCO2__GCO3
chr_10	22700001	22800000	817	0.0352391	GCO2__GCO3
chr_10	23000001	23100000	9	-0.0127298	GCO2__GCO3
chr_10	23300001	23400000	473	-0.00768189	GCO2__GCO3
chr_10	1	100000	996	-0.00159574	GCO2__GCO5
chr_10	100001	200000	1216	0.00448226	GCO2__GCO5
chr_10	200001	300000	1383	-0.00134744	GCO2__GCO5
chr_10	300001	400000	1526	-0.0114141	GCO2__GCO5
chr_10	400001	500000	1921	0.0196671	GCO2__GCO5
chr_10	500001	600000	1919	0.00391756	GCO2__GCO5
chr_10	600001	700000	2337	-0.000306683	GCO2__GCO5
chr_10	700001	800000	1926	0.0101438	GCO2__GCO5
chr_10	800001	900000	2200	0.0117493	GCO2__GCO5
chr_10	900001	1000000	2396	0.0205246	GCO2__GCO5
chr_10	1000001	1100000	2573	0.0117871	GCO2__GCO5
chr_10	1100001	1200000	2274	0.0130841	GCO2__GCO5
chr_10	1200001	1300000	2152	-0.000451617	GCO2__GCO5
chr_10	1300001	1400000	2253	0.00310604	GCO2__GCO5
chr_10	1400001	1500000	2599	0.012824	GCO2__GCO5
chr_10	1500001	1600000	2793	-2.74431e-05	GCO2__GCO5
chr_10	1600001	1700000	2317	0.00356893	GCO2__GCO5
chr_10	1700001	1800000	2171	0.00765641	GCO2__GCO5
chr_10	1800001	1900000	2057	-0.00142368	GCO2__GCO5
chr_10	1900001	2000000	2297	0.0141624	GCO2__GCO5
chr_10	2000001	2100000	2432	0.0105135	GCO2__GCO5
chr_10	2100001	2200000	2328	0.00731238	GCO2__GCO5
chr_10	2200001	2300000	2288	0.0111007	GCO2__GCO5
chr_10	2300001	2400000	2417	0.00462275	GCO2__GCO5
chr_10	2400001	2500000	2387	0.0110249	GCO2__GCO5
chr_10	2500001	2600000	2689	0.0101187	GCO2__GCO5
chr_10	2600001	2700000	2033	0.0126909	GCO2__GCO5
chr_10	2700001	2800000	2550	0.00636692	GCO2__GCO5
chr_10	2800001	2900000	2378	0.0432423	GCO2__GCO5
chr_10	2900001	3000000	2546	0.0304794	GCO2__GCO5
chr_10	3000001	3100000	2151	0.0144473	GCO2__GCO5
chr_10	3100001	3200000	2310	0.0190458	GCO2__GCO5
chr_10	3200001	3300000	2318	0.0160275	GCO2__GCO5
chr_10	3300001	3400000	2365	0.00904065	GCO2__GCO5
chr_10	3400001	3500000	2786	0.0065823	GCO2__GCO5
chr_10	3500001	3600000	2777	0.0158614	GCO2__GCO5
chr_10	3600001	3700000	2466	-0.000635639	GCO2__GCO5
chr_10	3700001	3800000	2704	0.0107254	GCO2__GCO5
chr_10	3800001	3900000	2559	0.00597628	GCO2__GCO5
chr_10	3900001	4000000	2450	-0.00203895	GCO2__GCO5
chr_10	4000001	4100000	2690	0.00151892	GCO2__GCO5
chr_10	4100001	4200000	2452	0.0170431	GCO2__GCO5
chr_10	4200001	4300000	2487	0.00175164	GCO2__GCO5
chr_10	4300001	4400000	2568	-0.00467824	GCO2__GCO5
chr_10	4400001	4500000	2732	0.00437906	GCO2__GCO5
chr_10	4500001	4600000	2581	0.006343	GCO2__GCO5
chr_10	4600001	4700000	2549	0.0144001	GCO2__GCO5
chr_10	4700001	4800000	2877	0.00834839	GCO2__GCO5
chr_10	4800001	4900000	2559	0.023484	GCO2__GCO5
chr_10	4900001	5000000	2504	0.00911888	GCO2__GCO5
chr_10	5000001	5100000	2572	0.0115901	GCO2__GCO5
chr_10	5100001	5200000	2461	0.0225604	GCO2__GCO5
chr_10	5200001	5300000	2468	0.0191444	GCO2__GCO5
chr_10	5300001	5400000	2412	0.0138309	GCO2__GCO5
chr_10	5400001	5500000	2670	0.021901	GCO2__GCO5
chr_10	5500001	5600000	2019	0.0131789	GCO2__GCO5
chr_10	5600001	5700000	2332	0.0298282	GCO2__GCO5
chr_10	5700001	5800000	1849	0.00919756	GCO2__GCO5
chr_10	5800001	5900000	2592	0.00957623	GCO2__GCO5
chr_10	5900001	6000000	2462	0.00433152	GCO2__GCO5
chr_10	6000001	6100000	2822	0.0111635	GCO2__GCO5
chr_10	6100001	6200000	3002	0.00578983	GCO2__GCO5
chr_10	6200001	6300000	2764	0.0110551	GCO2__GCO5
chr_10	6300001	6400000	2702	0.00953701	GCO2__GCO5
chr_10	6400001	6500000	2476	0.0129846	GCO2__GCO5
chr_10	6500001	6600000	2386	0.0040379	GCO2__GCO5
chr_10	6600001	6700000	2715	0.011177	GCO2__GCO5
chr_10	6700001	6800000	2535	0.00141794	GCO2__GCO5
chr_10	6800001	6900000	2851	0.00266045	GCO2__GCO5
chr_10	6900001	7000000	2748	0.0037592	GCO2__GCO5
chr_10	7000001	7100000	2679	0.0130715	GCO2__GCO5
chr_10	7100001	7200000	2498	0.0168072	GCO2__GCO5
chr_10	7200001	7300000	2491	0.0166076	GCO2__GCO5
chr_10	7300001	7400000	2380	0.0118974	GCO2__GCO5
chr_10	7400001	7500000	2629	-0.000912231	GCO2__GCO5
chr_10	7500001	7600000	2452	0.00760132	GCO2__GCO5
chr_10	7600001	7700000	2249	0.0177617	GCO2__GCO5
chr_10	7700001	7800000	2209	0.0172933	GCO2__GCO5
chr_10	7800001	7900000	2421	0.0129028	GCO2__GCO5
chr_10	7900001	8000000	2354	0.0126171	GCO2__GCO5
chr_10	8000001	8100000	2524	0.0101549	GCO2__GCO5
chr_10	8100001	8200000	2562	0.0133978	GCO2__GCO5
chr_10	8200001	8300000	2942	0.0107636	GCO2__GCO5
chr_10	8300001	8400000	2696	0.00653666	GCO2__GCO5
chr_10	8400001	8500000	2617	0.00637476	GCO2__GCO5
chr_10	8500001	8600000	2548	0.0232112	GCO2__GCO5
chr_10	8600001	8700000	2127	0.000323796	GCO2__GCO5
chr_10	8700001	8800000	2656	0.0149203	GCO2__GCO5
chr_10	8800001	8900000	2772	0.0294891	GCO2__GCO5
chr_10	8900001	9000000	2443	0.0209832	GCO2__GCO5
chr_10	9000001	9100000	2365	0.0084688	GCO2__GCO5
chr_10	9100001	9200000	2642	0.00662285	GCO2__GCO5
chr_10	9200001	9300000	2905	0.00528068	GCO2__GCO5
chr_10	9300001	9400000	3040	0.00660039	GCO2__GCO5
chr_10	9400001	9500000	2439	0.0253991	GCO2__GCO5
chr_10	9500001	9600000	2767	0.00734741	GCO2__GCO5
chr_10	9600001	9700000	2408	0.0209885	GCO2__GCO5
chr_10	9700001	9800000	2689	0.0027123	GCO2__GCO5
chr_10	9800001	9900000	2692	0.0239864	GCO2__GCO5
chr_10	9900001	10000000	2361	0.00642388	GCO2__GCO5
chr_10	10000001	10100000	2457	0.00955053	GCO2__GCO5
chr_10	10100001	10200000	2651	0.00776261	GCO2__GCO5
chr_10	10200001	10300000	2350	0.0103957	GCO2__GCO5
chr_10	10300001	10400000	2601	0.0114161	GCO2__GCO5
chr_10	10400001	10500000	2519	0.0086875	GCO2__GCO5
chr_10	10500001	10600000	2441	0.00533489	GCO2__GCO5
chr_10	10600001	10700000	2407	0.0079091	GCO2__GCO5
chr_10	10700001	10800000	2693	0.00726979	GCO2__GCO5
chr_10	10800001	10900000	2504	0.00630967	GCO2__GCO5
chr_10	10900001	11000000	2543	0.00498157	GCO2__GCO5
chr_10	11000001	11100000	2699	0.00723528	GCO2__GCO5
chr_10	11100001	11200000	2516	0.0179894	GCO2__GCO5
chr_10	11200001	11300000	2584	0.00994646	GCO2__GCO5
chr_10	11300001	11400000	2520	0.00318284	GCO2__GCO5
chr_10	11400001	11500000	2407	0.0134413	GCO2__GCO5
chr_10	11500001	11600000	2700	0.00679789	GCO2__GCO5
chr_10	11600001	11700000	2948	0.00853173	GCO2__GCO5
chr_10	11700001	11800000	2733	0.0127645	GCO2__GCO5
chr_10	11800001	11900000	2344	0.0156323	GCO2__GCO5
chr_10	11900001	12000000	3299	0.0170414	GCO2__GCO5
chr_10	12000001	12100000	2316	0.0187827	GCO2__GCO5
chr_10	12100001	12200000	2495	0.0140853	GCO2__GCO5
chr_10	12200001	12300000	2797	0.00034002	GCO2__GCO5
chr_10	12300001	12400000	2524	0.00421491	GCO2__GCO5
chr_10	12400001	12500000	2196	0.0136264	GCO2__GCO5
chr_10	12500001	12600000	2381	0.00693989	GCO2__GCO5
chr_10	12600001	12700000	2546	0.00444109	GCO2__GCO5
chr_10	12700001	12800000	2407	0.0116084	GCO2__GCO5
chr_10	12800001	12900000	2442	0.0195616	GCO2__GCO5
chr_10	12900001	13000000	2291	0.0162603	GCO2__GCO5
chr_10	13000001	13100000	2725	0.0132954	GCO2__GCO5
chr_10	13100001	13200000	2292	0.00738623	GCO2__GCO5
chr_10	13200001	13300000	2521	0.000156329	GCO2__GCO5
chr_10	13300001	13400000	2852	0.00945235	GCO2__GCO5
chr_10	13400001	13500000	2689	0.0120022	GCO2__GCO5
chr_10	13500001	13600000	2447	0.031088	GCO2__GCO5
chr_10	13600001	13700000	2706	0.0114136	GCO2__GCO5
chr_10	13700001	13800000	2910	0.00469768	GCO2__GCO5
chr_10	13800001	13900000	2589	0.00574331	GCO2__GCO5
chr_10	13900001	14000000	2740	0.00483929	GCO2__GCO5
chr_10	14000001	14100000	2728	0.0153856	GCO2__GCO5
chr_10	14100001	14200000	2271	-0.00442177	GCO2__GCO5
chr_10	14200001	14300000	2668	0.00391513	GCO2__GCO5
chr_10	14300001	14400000	2594	-0.00364002	GCO2__GCO5
chr_10	14400001	14500000	2526	0.00474181	GCO2__GCO5
chr_10	14500001	14600000	2772	0.00518558	GCO2__GCO5
chr_10	14600001	14700000	2497	0.00333138	GCO2__GCO5
chr_10	14700001	14800000	2535	0.028116	GCO2__GCO5
chr_10	14800001	14900000	2658	0.0349066	GCO2__GCO5
chr_10	14900001	15000000	2496	0.0367771	GCO2__GCO5
chr_10	15000001	15100000	2473	0.0131413	GCO2__GCO5
chr_10	15100001	15200000	2480	0.0112111	GCO2__GCO5
chr_10	15200001	15300000	2656	0.0164267	GCO2__GCO5
chr_10	15300001	15400000	2820	0.0154248	GCO2__GCO5
chr_10	15400001	15500000	2496	0.00548781	GCO2__GCO5
chr_10	15500001	15600000	2868	0.00909687	GCO2__GCO5
chr_10	15600001	15700000	2970	0.00415962	GCO2__GCO5
chr_10	15700001	15800000	2408	0.0094684	GCO2__GCO5
chr_10	15800001	15900000	2424	-0.00998894	GCO2__GCO5
chr_10	15900001	16000000	2461	-0.000184628	GCO2__GCO5
chr_10	16000001	16100000	2756	0.0167603	GCO2__GCO5
chr_10	16100001	16200000	2878	0.00576494	GCO2__GCO5
chr_10	16200001	16300000	2727	0.000387152	GCO2__GCO5
chr_10	16300001	16400000	2445	0.00410448	GCO2__GCO5
chr_10	16400001	16500000	3030	0.00216387	GCO2__GCO5
chr_10	16500001	16600000	2483	0.00197815	GCO2__GCO5
chr_10	16600001	16700000	2695	0.0165826	GCO2__GCO5
chr_10	16700001	16800000	2563	0.0126534	GCO2__GCO5
chr_10	16800001	16900000	2627	0.00616766	GCO2__GCO5
chr_10	16900001	17000000	2748	0.00690124	GCO2__GCO5
chr_10	17000001	17100000	2715	0.00828046	GCO2__GCO5
chr_10	17100001	17200000	2675	0.00627408	GCO2__GCO5
chr_10	17200001	17300000	2783	0.00921316	GCO2__GCO5
chr_10	17300001	17400000	2421	0.0117131	GCO2__GCO5
chr_10	17400001	17500000	2441	-0.010448	GCO2__GCO5
chr_10	17500001	17600000	2089	0.00375257	GCO2__GCO5
chr_10	17600001	17700000	2244	0.0210884	GCO2__GCO5
chr_10	17700001	17800000	2423	-0.000415765	GCO2__GCO5
chr_10	17800001	17900000	2364	0.00807123	GCO2__GCO5
chr_10	17900001	18000000	2213	0.0157229	GCO2__GCO5
chr_10	18000001	18100000	2331	0.0164	GCO2__GCO5
chr_10	18100001	18200000	2604	0.00502768	GCO2__GCO5
chr_10	18200001	18300000	2332	0.0217079	GCO2__GCO5
chr_10	18300001	18400000	2562	0.00613638	GCO2__GCO5
chr_10	18400001	18500000	2208	0.000558422	GCO2__GCO5
chr_10	18500001	18600000	2800	0.0148342	GCO2__GCO5
chr_10	18600001	18700000	2630	0.00219692	GCO2__GCO5
chr_10	18700001	18800000	2606	0.00708201	GCO2__GCO5
chr_10	18800001	18900000	2737	0.00628399	GCO2__GCO5
chr_10	18900001	19000000	2623	-0.000405707	GCO2__GCO5
chr_10	19000001	19100000	3004	0.0136734	GCO2__GCO5
chr_10	19100001	19200000	2348	-0.00255215	GCO2__GCO5
chr_10	19200001	19300000	2846	0.0100235	GCO2__GCO5
chr_10	19300001	19400000	2562	0.00161787	GCO2__GCO5
chr_10	19400001	19500000	2573	0.0244406	GCO2__GCO5
chr_10	19500001	19600000	210	0.000683502	GCO2__GCO5
chr_10	19600001	19700000	30	0.00674689	GCO2__GCO5
chr_10	19700001	19800000	322	0.0140328	GCO2__GCO5
chr_10	19800001	19900000	2565	0.0055599	GCO2__GCO5
chr_10	19900001	20000000	2747	0.0114009	GCO2__GCO5
chr_10	20000001	20100000	1950	-0.00463942	GCO2__GCO5
